https://www.coronavirus.cchealth.org/dashboard,,,,,
NOTE: Contra Costa reporting cumulative total testing each day (entered in the bold-text columns),,,,,
"METHOD: Recorded total tests; recorded total cases per day as positives for each day; subtracted positives from total tests to retrieve negatives, then calculated daily 'count' by subtracting from previous day",,,,,
date,county,result,count,count (cumul.),Total Tests (cumul.)
2020-03-01,Contra Costa,positive,2,2,14
2020-03-01,Contra Costa,negative,12,12,
2020-03-02,Contra Costa,positive,0,2,14
2020-03-02,Contra Costa,negative,0,12,
2020-03-03,Contra Costa,positive,0,2,15
2020-03-03,Contra Costa,negative,1,13,
2020-03-04,Contra Costa,positive,2,4,22
2020-03-04,Contra Costa,negative,5,18,
2020-03-05,Contra Costa,positive,1,5,24
2020-03-05,Contra Costa,negative,1,19,
2020-03-06,Contra Costa,positive,4,9,29
2020-03-06,Contra Costa,negative,1,20,
2020-03-07,Contra Costa,positive,0,9,29
2020-03-07,Contra Costa,negative,0,20,
2020-03-08,Contra Costa,positive,2,11,38
2020-03-08,Contra Costa,negative,7,27,
2020-03-09,Contra Costa,positive,2,13,43
2020-03-09,Contra Costa,negative,3,30,
2020-03-10,Contra Costa,positive,3,16,64
2020-03-10,Contra Costa,negative,18,48,
2020-03-11,Contra Costa,positive,1,17,90
2020-03-11,Contra Costa,negative,25,73,
2020-03-12,Contra Costa,positive,9,26,123
2020-03-12,Contra Costa,negative,24,97,
2020-03-13,Contra Costa,positive,5,31,171
2020-03-13,Contra Costa,negative,43,140,
2020-03-14,Contra Costa,positive,2,33,178
2020-03-14,Contra Costa,negative,5,145,
2020-03-15,Contra Costa,positive,2,35,205
2020-03-15,Contra Costa,negative,25,170,
2020-03-16,Contra Costa,positive,3,38,253
2020-03-16,Contra Costa,negative,45,215,
2020-03-17,Contra Costa,positive,7,45,346
2020-03-17,Contra Costa,negative,86,301,
2020-03-18,Contra Costa,positive,2,47,450
2020-03-18,Contra Costa,negative,102,403,
2020-03-19,Contra Costa,positive,1,48,531
2020-03-19,Contra Costa,negative,80,483,
2020-03-20,Contra Costa,positive,6,54,675
2020-03-20,Contra Costa,negative,138,621,
2020-03-21,Contra Costa,positive,10,64,930
2020-03-21,Contra Costa,negative,245,866,
2020-03-22,Contra Costa,positive,12,76,1169
2020-03-22,Contra Costa,negative,227,1093,
2020-03-23,Contra Costa,positive,15,91,1363
2020-03-23,Contra Costa,negative,179,1272,
2020-03-24,Contra Costa,positive,25,116,1520
2020-03-24,Contra Costa,negative,132,1404,
2020-03-25,Contra Costa,positive,25,141,1952
2020-03-25,Contra Costa,negative,407,1811,
2020-03-26,Contra Costa,positive,16,157,2302
2020-03-26,Contra Costa,negative,334,2145,
2020-03-27,Contra Costa,positive,23,180,2684
2020-03-27,Contra Costa,negative,359,2504,
2020-03-28,Contra Costa,positive,16,196,3054
2020-03-28,Contra Costa,negative,354,2858,
2020-03-29,Contra Costa,positive,19,215,3471
2020-03-29,Contra Costa,negative,398,3256,
2020-03-30,Contra Costa,positive,22,237,3693
2020-03-30,Contra Costa,negative,200,3456,
2020-03-31,Contra Costa,positive,30,267,3999
2020-03-31,Contra Costa,negative,276,3732,
2020-04-01,Contra Costa,positive,24,291,4205
2020-04-01,Contra Costa,negative,182,3914,
2020-04-02,Contra Costa,positive,32,323,4624
2020-04-02,Contra Costa,negative,387,4301,
2020-04-03,Contra Costa,positive,50,373,5068
2020-04-03,Contra Costa,negative,394,4695,
2020-04-04,Contra Costa,positive,34,407,5392
2020-04-04,Contra Costa,negative,290,4985,
2020-04-05,Contra Costa,positive,27,434,5740
2020-04-05,Contra Costa,negative,321,5306,
2020-04-06,Contra Costa,positive,26,460,5976
2020-04-06,Contra Costa,negative,210,5516,
2020-04-07,Contra Costa,positive,20,480,6170
2020-04-07,Contra Costa,negative,174,5690,
2020-04-08,Contra Costa,positive,22,502,6459
2020-04-08,Contra Costa,negative,267,5957,
2020-04-09,Contra Costa,positive,28,530,6866
2020-04-09,Contra Costa,negative,379,6336,
2020-04-10,Contra Costa,positive,23,553,7090
2020-04-10,Contra Costa,negative,201,6537,
2020-04-11,Contra Costa,positive,8,561,7186
2020-04-11,Contra Costa,negative,88,6625,
2020-04-12,Contra Costa,positive,19,580,7638
2020-04-12,Contra Costa,negative,433,7058,
2020-04-13,Contra Costa,positive,42,622,7897
2020-04-13,Contra Costa,negative,217,7275,
2020-04-14,Contra Costa,positive,22,644,8157
2020-04-14,Contra Costa,negative,238,7513,
2020-04-15,Contra Costa,positive,18,662,8446
2020-04-15,Contra Costa,negative,271,7784,
2020-04-16,Contra Costa,positive,16,678,8770
2020-04-16,Contra Costa,negative,308,8092,
2020-04-17,Contra Costa,positive,36,714,9109
2020-04-17,Contra Costa,negative,303,8395,
2020-04-18,Contra Costa,positive,8,722,9380
2020-04-18,Contra Costa,negative,263,8658,
2020-04-19,Contra Costa,positive,15,737,9744
2020-04-19,Contra Costa,negative,349,9007,
2020-04-20,Contra Costa,positive,12,749,9908
2020-04-20,Contra Costa,negative,152,9159,
2020-04-21,Contra Costa,positive,14,763,10064
2020-04-21,Contra Costa,negative,142,9301,
2020-04-22,Contra Costa,positive,7,770,10332
2020-04-22,Contra Costa,negative,261,9562,
2020-04-23,Contra Costa,positive,,,
2020-04-23,Contra Costa,negative,,,