https://doitgis.maps.arcgis.com/apps/MapSeries/index.html?appid=055f81e9fe154da5860257e3f2489d67,,,,,
"NOTE: Testing is not documented by day, but as a total; see below; NEED to update daily to capture count",,,,,
,,,,,
date,county,result,count,count (cumul.),Total Tests (cumul.)
2020-02-28,Solano,positive,2,2,
2020-02-28,Solano,negative,,,
2020-02-29,Solano,positive,0,2,
2020-02-29,Solano,negative,,,
2020-03-01,Solano,positive,1,3,
2020-03-01,Solano,negative,,,
2020-03-02,Solano,positive,0,3,
2020-03-02,Solano,negative,,,
2020-03-03,Solano,positive,0,3,
2020-03-03,Solano,negative,,,
2020-03-04,Solano,positive,0,3,
2020-03-04,Solano,negative,,,
2020-03-05,Solano,positive,0,3,
2020-03-05,Solano,negative,,,
2020-03-06,Solano,positive,0,3,
2020-03-06,Solano,negative,,,
2020-03-07,Solano,positive,0,3,
2020-03-07,Solano,negative,,,
2020-03-08,Solano,positive,0,3,
2020-03-08,Solano,negative,,,
2020-03-09,Solano,positive,0,3,
2020-03-09,Solano,negative,,,
2020-03-10,Solano,positive,0,3,
2020-03-10,Solano,negative,,,
2020-03-11,Solano,positive,1,4,
2020-03-11,Solano,negative,,,
2020-03-12,Solano,positive,1,5,
2020-03-12,Solano,negative,,,
2020-03-13,Solano,positive,0,5,
2020-03-13,Solano,negative,,,
2020-03-14,Solano,positive,0,5,
2020-03-14,Solano,negative,,,
2020-03-15,Solano,positive,0,5,
2020-03-15,Solano,negative,,,
2020-03-16,Solano,positive,1,6,
2020-03-16,Solano,negative,,,
2020-03-17,Solano,positive,1,7,
2020-03-17,Solano,negative,,,
2020-03-18,Solano,positive,0,7,
2020-03-18,Solano,negative,,,
2020-03-19,Solano,positive,2,9,
2020-03-19,Solano,negative,,,
2020-03-20,Solano,positive,4,13,
2020-03-20,Solano,negative,,,
2020-03-21,Solano,positive,1,14,
2020-03-21,Solano,negative,,,
2020-03-22,Solano,positive,3,17,
2020-03-22,Solano,negative,,,
2020-03-23,Solano,positive,4,21,
2020-03-23,Solano,negative,,,
2020-03-24,Solano,positive,3,24,
2020-03-24,Solano,negative,,,
2020-03-25,Solano,positive,7,31,
2020-03-25,Solano,negative,,,
2020-03-26,Solano,positive,3,34,
2020-03-26,Solano,negative,,,
2020-03-27,Solano,positive,0,34,
2020-03-27,Solano,negative,,,
2020-03-28,Solano,positive,0,34,
2020-03-28,Solano,negative,,,
2020-03-29,Solano,positive,3,37,
2020-03-29,Solano,negative,,,
2020-03-30,Solano,positive,6,43,
2020-03-30,Solano,negative,,,
2020-03-31,Solano,positive,6,49,
2020-03-31,Solano,negative,,,
2020-04-01,Solano,positive,5,54,
2020-04-01,Solano,negative,,,
2020-04-02,Solano,positive,7,61,
2020-04-02,Solano,negative,,,
2020-04-03,Solano,positive,12,73,
2020-04-03,Solano,negative,,,
2020-04-04,Solano,positive,3,76,
2020-04-04,Solano,negative,,,
2020-04-05,Solano,positive,9,85,
2020-04-05,Solano,negative,,,
2020-04-06,Solano,positive,3,88,
2020-04-06,Solano,negative,,,
2020-04-07,Solano,positive,11,99,
2020-04-07,Solano,negative,,,
2020-04-08,Solano,positive,13,112,
2020-04-08,Solano,negative,,,
2020-04-09,Solano,positive,3,115,
2020-04-09,Solano,negative,,,
2020-04-10,Solano,positive,6,121,
2020-04-10,Solano,negative,,,
2020-04-11,Solano,positive,5,126,
2020-04-11,Solano,negative,,,
2020-04-12,Solano,positive,4,130,
2020-04-12,Solano,negative,,,
2020-04-13,Solano,positive,5,135,
2020-04-13,Solano,negative,,,
2020-04-14,Solano,positive,5,140,
2020-04-14,Solano,negative,,,
2020-04-15,Solano,positive,1,141,
2020-04-15,Solano,negative,,,
2020-04-16,Solano,positive,15,156,
2020-04-16,Solano,negative,,,
2020-04-17,Solano,positive,13,169,
2020-04-17,Solano,negative,,,
2020-04-18,Solano,positive,7,176,
2020-04-18,Solano,negative,,,
2020-04-19,Solano,positive,4,180,
2020-04-19,Solano,negative,,,
2020-04-20,Solano,positive,0,180,
2020-04-20,Solano,negative,,,
2020-04-21,Solano,positive,1,181,
2020-04-21,Solano,negative,,,
2020-04-22,Solano,positive,5,186,"2,555"
2020-04-22,Solano,negative,,2369,
2020-04-23,Solano,positive,5,191,
2020-04-23,Solano,negative,,,
2020-04-24,Solano,positive,8,199,2627
2020-04-24,Solano,negative,,,